,high_amount,moving_avg,forcast
2025-01-08,,,67493.85943447787
2025-01-09,,,67585.0780746903
2025-01-10,,,67685.49001656164
2025-01-11,,,67818.74424962453
2025-01-12,,,67958.3010324874
2025-01-13,,,68911.59200457907
2025-01-14,,,68977.37449526748
2025-01-15,,,69187.64727168718
2025-01-16,,,69186.29838836809
2025-01-17,,,69187.23849040072
2025-01-18,,,69135.21416927205
2025-01-19,,,69105.03751735052
2025-01-20,,,69059.99668692426
2025-01-21,,,69037.25058666189
2025-01-22,,,69227.13712545259
2025-01-23,,,69233.84582976185
2025-01-24,,,69267.95384593055
2025-01-25,,,69364.1698490112
2025-01-26,,,71428.22573131381
2025-01-27,,,71578.67343077838
2025-01-28,,,71753.78019758679
2025-01-29,,,71828.0033424072
2025-01-30,,,71887.99102856529
2025-01-31,,,71929.77899582981
2025-02-01,,,71912.72151501167
2025-02-02,,,72090.16744518057
2025-02-03,,,72074.3897538463
2025-02-04,,,72198.01227807469
2025-02-05,,,72739.53718170257
2025-02-06,,,72824.45029049664
2025-02-07,,,72916.71449147064
2025-02-08,,,72894.14622760775
2025-02-09,,,72995.08103840906
2025-02-10,,,73090.60819169902
2025-02-11,,,73140.79753979963
2025-02-12,,,73185.2579856579
2025-02-13,,,73283.01953127667
2025-02-14,,,73377.46439877708
2025-02-15,,,73359.10171304886
2025-02-16,,,73402.71338482022
2025-02-17,,,73550.52074030903
2025-02-18,,,73534.28208103956
2025-02-19,,,73872.0051097534
2025-02-20,,,73790.63874822769
2025-02-21,,,73893.49243624798
2025-02-22,,,74088.63216852724
2025-02-23,,,74246.79285145503
2025-02-24,,,74390.63484050074
2025-02-25,,,74649.77452536406
2025-02-26,,,76627.9079033006
2025-02-27,,,76774.94890918671
2025-02-28,,,76925.58613615634
2025-03-01,,,76625.4603104755
2025-03-02,,,76716.67895068793
2025-03-03,,,76817.09089255927
2025-03-04,,,76950.34512562217
2025-03-05,,,77089.90190848503
2025-03-06,,,78043.1928805767
2025-03-07,,,78108.97537126511
2025-03-08,,,78319.2481476848
2025-03-09,,,78317.89926436571
2025-03-10,,,78318.83936639834
2025-03-11,,,78266.81504526969
2025-03-12,,,78236.63839334816
2025-03-13,,,78191.59756292189
2025-03-14,,,78168.85146265951
2025-03-15,,,78358.73800145021
2025-03-16,,,78365.44670575947
2025-03-17,,,78399.55472192817
2025-03-18,,,78495.77072500884
2025-03-19,,,80559.82660731145
2025-03-20,,,80710.274306776
2025-03-21,,,80885.38107358442
2025-03-22,,,80959.60421840483
2025-03-23,,,81019.59190456291
2025-03-24,,,81061.37987182743
2025-03-25,,,81044.32239100931
2025-03-26,,,81221.76832117821
2025-03-27,,,81205.99062984393
2025-03-28,,,81329.61315407231
2025-03-29,,,81871.1380577002
2025-03-30,,,81956.05116649426
2025-03-31,,,82048.31536746827
2025-04-01,,,82025.74710360539
2025-04-02,,,82126.6819144067
2025-04-03,,,82222.20906769665
2025-04-04,,,82272.39841579726
2025-04-05,,,82316.85886165552
2025-04-06,,,82414.6204072743
2025-04-07,,,82509.06527477471
2025-04-08,,,82490.7025890465
2025-04-09,,,82534.31426081786
2025-04-10,,,82682.12161630666
2025-04-11,,,82665.88295703719
2025-04-12,,,83003.60598575103
2025-04-13,,,82922.23962422533
2025-04-14,,,83025.0933122456
2025-04-15,,,83220.23304452487
2025-04-16,,,83378.39372745267
2025-04-17,,,83522.23571649837
2025-04-18,,,83781.37540136169
2025-04-19,,,85759.50877929822
2025-04-20,,,85906.54978518435
2025-04-21,,,86057.18701215397
2025-04-22,,,85757.06118647312
2025-04-23,,,85848.27982668557
2025-04-24,,,85948.69176855689
2025-04-25,,,86081.9460016198
2025-04-26,,,86221.50278448265
2025-04-27,,,87174.79375657435
2025-04-28,,,87240.57624726274
2025-04-29,,,87450.84902368243
2025-04-30,,,87449.50014036335
2025-05-01,,,87450.44024239597
2025-05-02,,,87398.41592126731
2025-05-03,,,87368.23926934578
2025-05-04,,,87323.19843891953
2025-05-05,,,87300.45233865715
2025-05-06,,,87490.33887744784
2025-05-07,,,87497.04758175711
2025-05-08,,,87531.1555979258
2025-05-09,,,87627.37160100647
2025-05-10,,,89691.42748330907
2025-05-11,,,89841.87518277363
2025-05-12,,,90016.98194958206
2025-05-13,,,90091.20509440245
2025-05-14,,,90151.19278056055
2025-05-15,,,90192.98074782506
2025-05-16,,,90175.92326700693
2025-05-17,,,90353.36919717584
2025-05-18,,,90337.59150584156
2025-05-19,,,90461.21403006995
2025-05-20,,,91002.73893369782
2025-05-21,,,91087.6520424919
2025-05-22,,,91179.9162434659
2025-05-23,,,91157.34797960302
2025-05-24,,,91258.28279040432
2025-05-25,,,91353.80994369427
2025-05-26,,,91403.9992917949
2025-05-27,,,91448.45973765315
2025-05-28,,,91546.22128327192
2025-05-29,,,91640.66615077233
2025-05-30,,,91622.30346504413
2025-05-31,,,91665.91513681549
2025-06-01,,,91813.72249230428
2025-06-02,,,91797.48383303483
2025-06-03,,,92135.20686174865
2025-06-04,,,92053.84050022296
2025-06-05,,,92156.69418824323
2025-06-06,,,92351.8339205225
2025-06-07,,,92509.9946034503
2025-06-08,,,92653.836592496
2025-06-09,,,92912.97627735931
2025-06-10,,,94891.10965529585
2025-06-11,,,95038.15066118198
2025-06-12,,,95188.7878881516
2025-06-13,,,94888.66206247076
2025-06-14,,,94979.8807026832
2025-06-15,,,95080.29264455452
2025-06-16,,,95213.54687761744
2025-06-17,,,95353.10366048028
2025-06-18,,,96306.39463257197
2025-06-19,,,96372.17712326036
2025-06-20,,,96582.44989968007
2025-06-21,,,96581.10101636098
2025-06-22,,,96582.0411183936
2025-06-23,,,96530.01679726495
2025-06-24,,,96499.8401453434
2025-06-25,,,96454.79931491715
2025-06-26,,,96432.05321465478
2025-06-27,,,96621.93975344548
2025-06-28,,,96628.64845775474
2025-06-29,,,96662.75647392342
2025-06-30,,,96758.9724770041
2025-07-01,,,98823.0283593067
2025-07-02,,,98973.47605877127
2025-07-03,,,99148.58282557968
2025-07-04,,,99222.80597040008
2025-07-05,,,99282.79365655818
2025-07-06,,,99324.58162382268
2025-07-07,,,99307.52414300457
2025-07-08,,,99484.97007317346
2025-07-09,,,99469.1923818392
2025-07-10,,,99592.81490606758
2025-07-11,,,100134.33980969545
2025-07-12,,,100219.25291848952
2025-07-13,,,100311.51711946352
2025-07-14,,,100288.94885560064
2025-07-15,,,100389.88366640195
2025-07-16,,,100485.41081969191
2025-07-17,,,100535.60016779252
2025-07-18,,,100580.06061365077
2025-07-19,,,100677.82215926956
2025-07-20,,,100772.26702676996
2025-07-21,,,100753.90434104175
2025-07-22,,,100797.51601281311
2025-07-23,,,100945.32336830192
2025-07-24,,,100929.08470903245
2025-07-25,,,101266.80773774628
2025-07-26,,,101185.4413762206
2025-07-27,,,101288.29506424085
2025-07-28,,,101483.43479652013
2025-07-29,,,101641.59547944792
2025-07-30,,,101785.43746849363
2025-07-31,,,102044.57715335694
2025-08-01,,,104022.71053129347
2025-08-02,,,104169.75153717962
2025-08-03,,,104320.38876414922
2025-08-04,,,104020.26293846838
2025-08-05,,,104111.48157868082
2025-08-06,,,104211.89352055216
2025-08-07,,,104345.14775361506
2025-08-08,,,104484.7045364779
2025-08-09,,,105437.9955085696
2025-08-10,,,105503.77799925799
2025-08-11,,,105714.0507756777
2025-08-12,,,105712.7018923586
2025-08-13,,,105713.64199439123
2025-08-14,,,105661.61767326258
2025-08-15,,,105631.44102134103
2025-08-16,,,105586.40019091479
2025-08-17,,,105563.6540906524
2025-08-18,,,105753.5406294431
2025-08-19,,,105760.24933375236
2025-08-20,,,105794.35734992105
2025-08-21,,,105890.57335300173
2025-08-22,,,107954.62923530432
2025-08-23,,,108105.0769347689
2025-08-24,,,108280.1837015773
2025-08-25,,,108354.40684639772
2025-08-26,,,108414.3945325558
2025-08-27,,,108456.18249982031
2025-08-28,,,108439.1250190022
2025-08-29,,,108616.57094917109
2025-08-30,,,108600.79325783683
2025-08-31,,,108724.4157820652
2025-09-01,,,109265.94068569309
2025-09-02,,,109350.85379448715
2025-09-03,,,109443.11799546114
2025-09-04,,,109420.54973159828
2025-09-05,,,109521.48454239957
2025-09-06,,,109617.01169568954
2025-09-07,,,109667.20104379015
2025-09-08,,,109711.66148964841
2025-09-09,,,109809.42303526719
2025-09-10,,,109903.86790276758
2025-09-11,,,109885.50521703939
2025-09-12,,,109929.11688881073
2025-09-13,,,110076.92424429955
2025-09-14,,,110060.68558503008
2025-09-15,,,110398.40861374392
2025-09-16,,,110317.04225221822
2025-09-17,,,110419.89594023848
2025-09-18,,,110615.03567251777
2025-09-19,,,110773.19635544554
2025-09-20,,,110917.03834449126
2025-09-21,,,111176.17802935456
2025-09-22,,,113154.31140729111
2025-09-23,,,113301.35241317724
2025-09-24,,,113451.98964014684
2025-09-25,,,113151.86381446602
2025-09-26,,,113243.08245467844
2025-09-27,,,113343.49439654978
2025-09-28,,,113476.74862961269
2025-09-29,,,113616.30541247554
2025-09-30,,,114569.59638456722
2025-10-01,,,114635.37887525561
2025-10-02,,,114845.65165167533
2025-10-03,,,114844.30276835622
2025-10-04,,,114845.24287038886
2025-10-05,,,114793.2185492602
2025-10-06,,,114763.04189733867
2025-10-07,,,114718.00106691242
2025-10-08,,,114695.25496665003
2025-10-09,,,114885.14150544074
=======
2020-04-21,1085.28,,
2020-04-22,1065.12,,
2020-04-23,1094.24,,
2020-04-24,1070.02,,
2020-04-25,1070.02,,
2020-04-26,1070.02,,
2020-04-27,1060.22,,
2020-04-28,1088.08,,
2020-04-29,1103.34,,
2020-04-30,1103.34,,
2020-05-01,1103.34,,
2020-05-02,1103.34,,
2020-05-03,1103.34,,
2020-05-04,1646.54,,
2020-05-05,2767.84,,
2020-05-06,2747.77,,
2020-05-07,2750.27,,
2020-05-08,2722.87,,
2020-05-09,2722.87,,
2020-05-10,2722.87,,
2020-05-11,2784.11,,
2020-05-12,2674.24,,
2020-05-13,2801.77,,
2020-05-14,2663.83,,
2020-05-15,2630.2799999999997,,
2020-05-16,2630.2799999999997,,
2020-05-17,2630.2799999999997,,
2020-05-18,2621.3199999999997,,
2020-05-19,3074.5299999999997,,
2020-05-20,3042.5699999999997,,
2020-05-21,3122.6800000000003,,
2020-05-22,3066.67,,
2020-05-23,3066.67,,
2020-05-24,3066.67,,
2020-05-25,3066.67,,
2020-05-26,3216.33,,
2020-05-27,3158.88,,
2020-05-28,3193.24,,
2020-05-29,3164.09,,
2020-05-30,3164.09,,
2020-05-31,3164.09,,
2020-06-01,3259.21,,
2020-06-02,3421.3,,
2020-06-03,3512.33,,
2020-06-04,3511.38,,
2020-06-05,3727.84,,
2020-06-06,3727.84,,
2020-06-07,3727.84,,
2020-06-08,3854.94,,
2020-06-09,3808.88,,
2020-06-10,3759.85,,
2020-06-11,3724.89,2581.5446153846156,
2020-06-12,3562.16,2629.1769230769232,
2020-06-13,3562.16,2677.1969230769228,
2020-06-14,3562.16,2724.656923076923,
2020-06-15,1976.0,2742.079615384615,
2020-06-16,1954.34,2759.085769230769,
2020-06-17,1820.2,2773.5123076923073,
2020-06-18,1835.4,2788.419615384615,
2020-06-19,1961.94,2805.2246153846154,
2020-06-20,1961.94,2821.7361538461537,
2020-06-21,1961.94,2838.2476923076924,
2020-06-22,1980.75,2855.120961538462,
2020-06-23,2001.65,2872.396153846154,
2020-06-24,2092.28,2891.4142307692305,
2020-06-25,2007.16,2898.349230769231,
2020-06-26,2002.6,2883.633076923077,
2020-06-27,2002.6,2869.3028846153848,
2020-06-28,2002.6,2854.9246153846157,
2020-06-29,1914.63,2839.381538461538,
2020-06-30,1914.63,2823.8384615384616,
2020-07-01,1915.58,2808.313653846154,
2020-07-02,1943.89,2792.1555769230768,
2020-07-03,3593.46,2809.8328846153845,
2020-07-04,3593.46,2825.0576923076924,
2020-07-05,3593.46,2842.9351923076924,
2020-07-06,3713.48,2863.765961538462,
2020-07-07,3804.6,2886.3490384615384,
2020-07-08,3745.78,2907.800961538462,
2020-07-09,3681.52,2928.189423076923,
2020-07-10,3669.62,2939.6334615384617,
2020-07-11,3669.62,2951.692115384615,
2020-07-12,3669.62,2962.210192307692,
2020-07-13,3787.94,2976.080769230769,
2020-07-14,3634.26,2986.995961538462,
2020-07-15,3608.76,2997.420769230769,
2020-07-16,3512.54,3005.9951923076924,
2020-07-17,3613.86,3013.64,
2020-07-18,3613.86,3022.389615384615,
2020-07-19,3613.86,3030.4784615384615,
2020-07-20,3593.46,3038.735576923077,
2020-07-21,3706.68,3049.17,
2020-07-22,3708.38,3059.6371153846153,
2020-07-23,3596.86,3066.1303846153846,
2020-07-24,3564.9,3068.8919230769234,
2020-07-25,3564.9,3069.9028846153847,
2020-07-26,3564.9,3070.9321153846154,
2020-07-27,4760.9,3090.7986538461537,
2020-07-28,4817.360000000001,3111.7509615384615,
2020-07-29,6653.62,3168.0159615384614,
2020-07-30,6965.0599999999995,3227.8259615384613,
2020-07-31,6965.0599999999995,3288.521730769231,
2020-08-01,6965.0599999999995,3350.1603846153844,
2020-08-02,6965.0599999999995,3412.471346153846,
2020-08-03,7247.66,3483.346346153846,
2020-08-04,7318.06,3555.5751923076923,
2020-08-05,7464.780000000001,3630.625576923077,
2020-08-06,7531.780000000001,3737.4674999999997,
2020-08-07,7729.9400000000005,3848.536730769231,
2020-08-08,7729.9400000000005,3962.185576923077,
2020-08-09,7729.9400000000005,4075.5421153846155,
2020-08-10,8031.32,4192.260961538462,
2020-08-11,8150.18,4311.265576923077,
2020-08-12,8335.98,4433.84326923077,
2020-08-13,8637.560000000001,4561.858846153847,
2020-08-14,8481.119999999999,4686.464038461539,
2020-08-15,8481.119999999999,4809.326346153846,
2020-08-16,8481.119999999999,4933.825576923076,
2020-08-17,8075.08,5050.604038461538,
2020-08-18,8140.9400000000005,5168.649038461538,
2020-08-19,8295.439999999999,5289.665192307692,
2020-08-20,8331.08,5413.058461538462,
2020-08-21,8271.82,5535.312115384615,
2020-08-22,8271.82,5657.5475,
2020-08-23,8271.82,5779.238461538461,
2020-08-24,8169.36,5867.236538461539,
2020-08-25,8255.74,5956.8957692307695,
2020-08-26,8587.66,6052.938076923077,
2020-08-27,8870.96,6152.120384615385,
2020-08-28,9053.0,6253.051153846154,
2020-08-29,9053.0,6355.113076923077,
2020-08-30,9053.0,6458.41076923077,
2020-08-31,9053.0,6561.9373076923075,
2020-09-01,8944.9,6663.384999999999,
2020-09-02,9061.44,6767.073846153846,
2020-09-03,9367.46,6874.372307692307,
2020-09-04,9283.8,6983.017307692308,
2020-09-05,9283.8,7092.152692307693,
2020-09-06,9283.8,7203.13846153846,
2020-09-07,9183.84,7310.253461538461,
2020-09-08,9033.42,7414.475769230769,
2020-09-09,8593.279999999999,7510.233846153847,
2020-09-10,8777.64,7609.929615384614,
2020-09-11,8910.36,7710.000384615385,
2020-09-12,8910.36,7810.038461538462,
2020-09-13,8910.36,7912.221153846154,
2020-09-14,9198.08,8020.551538461538,
2020-09-15,9120.619999999999,8127.392307692307,
2020-09-16,9198.5,8235.73076923077,
2020-09-17,9002.279999999999,8317.29576923077,
2020-09-18,9000.08,8397.732692307693,
2020-09-19,9000.08,8442.856923076923,
2020-09-20,9000.08,8481.991923076923,
2020-09-21,8831.66,8517.888076923076,
2020-09-22,8307.0,8543.694615384615,
2020-09-23,8231.84,8568.05576923077,
2020-09-24,7804.4,8578.762307692306,
2020-09-25,7938.94,8590.702307692307,
2020-09-26,7938.94,8599.82076923077,
2020-09-27,7938.94,8607.650769230768,
2020-09-28,8237.88,8617.418846153845,
2020-09-29,8231.04,8627.055384615383,
2020-09-30,8231.04,8636.691923076924,
2020-10-01,8133.139999999999,8638.649999999998,
2020-10-02,8133.139999999999,8638.322307692306,
2020-10-03,8133.139999999999,8634.421538461538,
2020-10-04,8133.139999999999,8624.721153846154,
2020-10-05,8184.8,8619.022692307692,
2020-10-06,8403.900000000001,8617.537692307693,
2020-10-07,8315.04,8614.343846153846,
2020-10-08,8302.24,8618.712307692307,
2020-10-09,8274.880000000001,8621.288076923076,
2020-10-10,8274.880000000001,8620.892692307692,
2020-10-11,8274.880000000001,8619.811923076923,
2020-10-12,8203.36,8618.495384615384,
2020-10-13,8030.3,8613.850769230768,
2020-10-14,7909.9800000000005,8606.892307692307,
2020-10-15,7876.9800000000005,8601.269615384615,
2020-10-16,7688.4,8590.35923076923,
2020-10-17,7688.4,8573.065769230769,
2020-10-18,7688.4,8550.32423076923,
2020-10-19,7737.46,8525.025384615383,
2020-10-20,7774.7,8500.442692307692,
2020-10-21,7889.22,8478.062307692308,
2020-10-22,7905.4800000000005,8455.994615384614,
2020-10-23,8123.66,8440.201538461539,
2020-10-24,8123.66,8422.167307692307,
2020-10-25,8123.66,8398.248076923077,
2020-10-26,8299.720000000001,8379.32346153846,
2020-10-27,8007.339999999999,8354.776153846153,
2020-10-28,8186.08,8333.666153846154,
2020-10-29,7747.5199999999995,8306.044615384615,
2020-10-30,7840.38,8283.101538461538,
2020-10-31,7840.38,8268.622692307692,
2020-11-01,7840.38,8250.598461538462,
2020-11-02,7839.08,8229.996923076922,
2020-11-03,7923.8,8211.024615384616,
2020-11-04,7891.5,8191.431153846154,
2020-11-05,7931.5,8167.073846153846,
2020-11-06,8094.88,8147.348076923076,
2020-11-07,8094.88,8126.124615384615,
2020-11-08,8094.88,8108.674615384614,
2020-11-09,8160.12,8092.5215384615385,
2020-11-10,8444.36,8081.834615384616,
2020-11-11,8714.939999999999,8076.351153846154,
2020-11-12,8853.900000000001,8076.778846153846,
2020-11-13,8761.68,8085.5226923076925,
2020-11-14,8837.279999999999,8097.165769230769,
2020-11-15,8837.279999999999,8117.028846153846,
2020-11-16,8837.279999999999,8134.304615384616,
2020-11-17,9154.48,8157.680384615384,
2020-11-18,9833.0,8194.104615384615,
2020-11-19,9719.34,8222.594230769231,
2020-11-20,9569.56,8248.335000000001,
2020-11-21,9569.56,8274.075769230769,
2020-11-22,9569.56,8301.69923076923,
2020-11-23,9716.92,8332.156538461539,
2020-11-24,9771.880000000001,8363.67076923077,
2020-11-25,9844.740000000002,8396.586153846154,
2020-11-26,9672.98,8425.205,
2020-11-27,10117.14,8458.151923076923,
2020-11-28,10117.14,8492.807692307691,
2020-11-29,10117.14,8527.709615384616,
2020-11-30,10117.14,8563.137692307691,
2020-12-01,10190.08,8599.968461538461,
2020-12-02,10433.26,8641.475769230768,
2020-12-03,10391.0,8683.54576923077,
2020-12-04,10470.619999999999,8730.475,
2020-12-05,10470.619999999999,8779.718076923076,
2020-12-06,10470.619999999999,8829.59576923077,
2020-12-07,10409.7,8881.92846153846,
2020-12-08,10736.4,8940.543846153847,
2020-12-09,11070.1,9005.576538461539,
2020-12-10,11121.48,9070.653846153846,
2020-12-11,11154.119999999999,9135.642692307692,
2020-12-12,11154.119999999999,9198.42923076923,
2020-12-13,11154.119999999999,9260.903076923078,
2020-12-14,10967.02,9315.583076923078,
2020-12-15,10725.96,9365.627307692308,
2020-12-16,10935.58,9419.702692307694,
2020-12-17,10868.04,9469.093461538461,
2020-12-18,10772.52,9522.27,
2020-12-19,10772.52,9572.00923076923,
2020-12-20,10772.52,9630.182307692306,
2020-12-21,10608.2,9683.409615384615,
2020-12-22,10024.84,9725.41846153846,
2020-12-23,10095.2,9768.780384615384,
2020-12-24,10393.7,9817.907692307692,
2020-12-25,10393.7,9865.40576923077,
2020-12-26,10393.7,9913.525,
2020-12-27,10393.7,9960.875,
2020-12-28,10746.46,10011.866923076923,
2020-12-29,10784.36,10063.587692307692,
